body,label
"Subject: urgent safeharbor department warning  urgent  safeharbor department warning  we recently have determined that different computers have logged into your  ebay account , and multiple password failures were present before the login one  of our customer service employees has already tryed to telephonically reach you .  as our employee did not manage to reach you , this email has been sent to your  notice . therefore your account has been temporary suspended . we need you to  confirm your identity in order to regain full privileges of your account . if  this is not completed by june 27 , 2005 , we reserve the right to terminate all  privileges of your account indefinitly , as it may have been used for fraudulent  purposes . we thank you for your cooperation in this manner . to confirm your  identity please follow the link below .  ( to complete the verification process you must fill in all the  required fields )  please note : if your account informations are not  updated within th",spam
Subject: macromedia studio mx 2004 ( 1 cd ) $ 55  http : / / bizarre . mainoemstore . com / ? a = 3107,spam
"Subject: save up to 70 % on hotels
dear daren farmer ,
one of the things we like to do here at expedia is help you
maximize your vacation dollar . since accommodations are a
big part of every vacation , we went to more than 1 , 200 quality
hotels in more than 240 cities and negotiated hotel rates up to
70 % less than the average standard rates . we call these expedia
special rates , and it ' s all about saving you money . when you
search for a hotel on expedia . com , just look for the "" expedia
special rates "" icon and you ' ll know you ' re getting this special rate .
right now , you can take advantage of an expedia special rate
at the brand - new aladdin resort in las vegas . this spectacular
hotel just opened , and it features one of the largest collections of
shopping , dining , entertainment , and gaming options available in
las vegas . see what it ' s all about :
5117
travel news
every week , we bring you the travel updates so you can
make exactly the right tra",legitimate
"Subject: defs purchase of teco pipeline
effective february 1 , 2001 duke energy field services ( defs ) will begin
operating teco pipeline under the name duke energy guadalupe pipeline inc .
we are attempting to make this transition as seamless as possible with a
minimum of changes .
the only meter number change will be at the el paso field services waha
header . in the past shippers have nominated at 00501723 whereas starting
february lst you will nominate at 8000007 .
for the time being , use the same nomination form you have used in the past .
be sure to include both upstream and downstream contract numbers on your
this form . attached is a file which will list , with a description , all the
meters on the duke energy guadalupe pipeline .
operational contacts are as follows :
eileen ponton - senior representative marketing operations ( responsible
for daily business )
office nbr : 713 - 627 - 6206
pager : 800 - 976 - 2802
fax : 713 - 627 - 6273
donna spencer - manag",legitimate
"Subject: massage from bernard  from : bernard louis mcarthy esq . ,  trend services ltd .  direct private phone : + 44 7040115431  dear ,  compliments , and do please accept my highest regards and esteem . this  proposal might come to you as a surprise due to the urgent need of a  reliable foreigner , i therefore deem it necessary to contact you . i am  bernard louis mcarthy , a solicitor at law and the personal attorney to late  mr . martin chey a thai nationale residing in johannesburg south africa ,  hereinafter shall be refered to as my client . on the 22 nd of dec . 2004 , my  client , his wife and all their three  children travelled to thailand for the christmas holiday . unfortunately , my  client mr . chey and all his family died in the most terrible and highly  horrible indian ocean ' s tidal wave disaster ( asian tsunami ) of the dec . 26 th  2004 .  ever since this tragic and traumatic events , i have made frantic efforts to  establish contacts with his relatives , but could",spam
"Subject: meeting confirmation / discussion points  fyi .  - - - - - - - - - - - - - - - - - - - - - - forwarded by pinnamaneni krishnarao / hou / ect on  08 / 03 / 2000 08 : 16 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  david foti @ ees  08 / 02 / 2000 05 : 06 pm  to : pinnamaneni krishnarao / hou / ect @ ect , minal dalia / hou / ees @ ees , sanjay  agarwal / hou / ees @ ees , naveen andrews / corp / enron @ enron  cc : scott stoness / hou / ees @ ees  subject : meeting confirmation / discussion points  tariff var project kick - off meeting  time : 8 / 3 ; 2 - 3 pm  location : eb 612  = = = = = = = = = = = = =  per the 8 / 2 lunch meeting between research , rac , and the tariff group , there  developed a consensus to :  develop a high level value - at - risk model within a 4 - 8 week time frame to use  for initial risk measurement and hedging purposes  accommodate links for critical variables such as interest rates , load growth ,  and inflation  provide "" knobs "" for l",legitimate
"Subject: enron
damn ! ! ! ! what are you guys doing down there . i leave you alone and the place goes to hell in a hand - basket .
i ' m sure glad my portfolio is diversified into stocks that have lost even more money than enron ( chuckle ) .
hang in there . . . . . . . . . this has happened before . if it gets bad enough call me and i ' ll buy you lunch .
ken
p . s . i finally get to see my beloved huskers in waco this year . it is not the same as mecca ( lincoln ) , but it ' ll do . besides we will have more red there than baylor green .",legitimate
"Subject: duke cashout entries 7 / 00 and 8 / 00
here are the cashout entries for 7 / 00 and 8 / 00 .
july 2000
deal 157278 ( $ 759 . 75 ) excess charge
$ 33 , 992 . 14 cashout
$ 33 , 232 . 39 total
( there is no purchase cashout for 7 / 00 . )
aug 2000
deal 157278 $ 90 . 18 cashout
$ 6 , 745 . 50 excess charge
$ 6 , 835 . 68 total
deal 157288 $ 9 , 575 . 45 cashout
thanks ,
megan",legitimate
"Subject: hello vince ,  i enjoyed talking with you this morning . per our conversation , here is  norberto valdes ' resume . i will call you in about an hour to make sure you  received it . thank you and let me know when you would like to meet him .  sincerely ,  lisa ford  281 ) 913 - 2076  ( see attached file : resumen 4 . doc )  - resumen 4 . doc",legitimate
"Subject: re : noms / actual vols for 5 / 18 thru 5 / 20
we agree
"" eileen ponton "" on 05 / 21 / 2001 04 : 01 : 51 pm
to : david avila / lsp / enserch / us @ tu , charlie stone / energy / txu @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com ,
szajac @ enron . com
cc :
subject : noms / actual vols for 5 / 18 thru 5 / 20
date nom mcf mmbtu
5 / 18 17 , 500 17 , 718 18 , 197
5 / 19 30 , 000 29 , 053 29 , 838
5 / 20 30 , 000 29 , 976 30 , 786",legitimate
"Subject: jake
hey ! what did the doctor say about jake ? did they run the tests ? i ' m out
next week wed . - fri . for spring break . i want to bring lacy to see jake .
when would be best ? tonya said the weekends were taken for a while . did she
mean easter weekend too ? hope jake is doing better . you never did send me
any videos of him & cole so i could see if i could download them . love , ma
get your private , free email at http : / / www . hotmail . com",legitimate
"Subject: erich call the doctor .
the secret on how porn stars grew big dicks !
the answer is here .
turn off notifications here .
lc international
exports ltd
st . eugenio # 4999 belize city ,
belize",spam
"Subject: re : vandy student  kristin ,  the problem with this guy is that we maxed out on the number of interns we  can gainfully employ and provide adequate supervision . so , we have to pass on  him .  vince  enron north america corp .  from : kristin gandy @ enron 02 / 16 / 2001 07 : 54 am  to : stinson gibner / hou / ect @ ect , vince j kaminski / hou / ect @ ect  cc :  subject : vandy student  i hear that you have been in contact with this student . do you have any  interest in hiring him for a summer position ? if not please just let me know  and i will call him to let him know .  regards ,  kristin  - - - - - - - - - - - - - - - - - - - - - - forwarded by kristin gandy / na / enron on 02 / 16 / 2001  07 : 49 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  dmitri villevald on 02 / 15 / 2001  04 : 00 : 51 pm  to : "" ' kristin . gandy @ enron . com ' ""  cc :  subject :  dear ms . gandy :  thank you for taking time out of your busy schedule to visit the owen  graduate scho",legitimate
Subject: save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactly when you want .  ciaiis has a iot of advantaqes over viaqra  - the effect lasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with alcohol ! we ship to any country !  get it right now ! .,spam
"Subject: m 33 t someone tonight
sexy
married ladies looking for discrete encounters
dating cheating house wives is very exciting , and these ladies are
looking for one thing , sex on the side . most members are all married and
do not want their husband or wife to find out , so be discrete with all
members . we believe we provide a valuable service to our customers .
see
photos and profiles in your area
click here
for no more promotions - cick",spam
"Subject: august 2000 estimated availabilities
i was on vacation last week and victor sent this out , but apparently not to
everyone
who needed it . some of you have called looking for the numbers , so i ' m
sending it again .
please e - mail me and let me know if you do not need this information .
steve at devon told
me this morning that he is working on revisions this afternoon .
thanks ,
beverly
- - - - - - - - - - - - - - - - - - - - - - forwarded by beverly beaty / hou / ect on 07 / 26 / 2000 02 : 01
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron capital & trade resources corp .
from : victor lamadrid 07 / 21 / 2000 07 : 53 am
to : carlos j rodriguez / hou / ect @ ect , george smith / hou / ect @ ect , randall l
gay / hou / ect @ ect , pat clynes / corp / enron @ enron , patti sullivan / hou / ect @ ect
cc : cindy vachuska / hou / ect @ ect , clarissa garcia / hou / ect @ ect , meredith
mitchell / hou / ect @ ect , cynthia franklin / corp / enron @ ",legitimate
"Subject: re : research and development charges to gpg  vera ,  we shall talk to the accounting group about the correction .  vince  08 / 09 / 2000 03 : 26 pm  vera apodaca @ enron  vera apodaca @ enron  vera apodaca @ enron  08 / 09 / 2000 03 : 26 pm  08 / 09 / 2000 03 : 26 pm  to : pinnamaneni krishnarao / hou / ect @ ect  cc : vince j kaminski / hou / ect @ ect  subject : research and development charges to gpg  per mail dated june 15 from kim watson , there was supposed to have occurred  a true - up of $ 274 . 7 in july for the fist six months of 2000 . reviewing july  actuals , i was not able to locate this entry . would you pls let me know  whether this entry was made , if not , when do you intend to process it .  thanks .",legitimate
"Subject: stock 2 watch  pop 3 media corp ( popt )  a company which has positioned itself in the gap between the major  media conglomerates and the universe of independent music , film , publishing  and technology companies .  current price : 0 . 022  will it continue higher ? watch this one wednesday as we know many of you  like momentum .  breaking news ! !  pop 3 media corp . ( popt ) and roxxy corporation announced that the  companies have entered into a letter of intent whereby roxxy corporation will  acquire a 66 % interest in pop 3 ' s wholly owned subsidiary , viastar  distribution group , inc . "" vdg , "" forming a revolutionary new music company ,  controversial entertainment corporation . the transaction , consisting of  stock and cash , when completed , will provide pop 3 ' s shareholders with a  33 % stake in the new company .  roxxy ' s management will operate the company from headquarters in los  angeles and will change its corporate name to controversial entertainment  co",spam
"Subject: hpl nom for march 1 , 2001
( see attached file : hplno 301 . xls )
- hplno 301 . xls",legitimate
"Subject: memo  information on grains and sugars from last week in memo form .  nelson  - - - - - - - - - - - - - - - - - - - - - - forwarded by nelson neale / na / enron on 03 / 05 / 2001 10 : 55  am - - - - - - - - - - - - - - - - - - - - - - - - - - -  from : maria arefieva 03 / 05 / 2001 11 : 01 am  to : nelson neale / na / enron @ enron  cc :  subject : memo  attached please find a summary of sessions on grains and sugar . a memo on ag  policy and outlook for the livestock sector will follow .  thanks ,  masha",legitimate
"Subject: free pay per view
had chance at last to view the warner bros . legends collection . all in all , not a bad deal , though yankee doodle dandy is not to my taste as entertainment , and the cartoons offered on that one are the most superfluous . "" yankee doodle bugs "" whose transfer is atrocious ) , those cartoons are also on looney tunes : the golden collection . the other two movies , the adventures of robin hood and treasure of the sierra madre , are true prizes of a golden era . first time that i ever saw either one and was impressed by the cinematography and performances . cartoons on those discs look as good as can be expected from laser videodisc masters . "" rabbit hood "" has some faded reds , and cross bunny "" some distorted audio over the titles . and when the ice cream vendor wagon explodes , there is a sudden burst of blocky redartifacts over the lines of the black dust cloud . as this cartoon never had a laser videodisc or even a vhs release , it is possible the tran",spam
"Subject: enron / hpl actuals for sept . 28 , 2000
teco tap 60 . 000 / enron ; 90 . 000 . hpl gas daily",legitimate
"Subject: assistant - realignment of duties
effective immediately , i am pleased to announce a realignment of
administrative support for the gas logistics , unify and electronic
commerce groups . we have officially hired brandee jackson as a new member
of our admin team , enabling us to provide
more hands on support across all of our groups .
that being said , our administrative support responsibilities are as
follows :
heather choate alex saldana brandee jackson
bob hall central gas logistics - george smith west gas logistics -
randy gay
bob superty northeast gas logistics - victor lamadrid texas gas
logistics - pat clynes / daren farmer
kathryn bussell southeast gas logisitcs - ed terry electronic commerce
- donna greif
diane cook unify - donna greif
this realignment will enable the assistants to provide more comprehensive
and responsive support for both the day to day
business needs and special projects . please remember that your assistant
is your primary support ",legitimate
"Subject: telephone interview with the houston research group  good morning quentin :  vince kaminski and the research group would like to conduct a telephone  interview with you sometime next week . considering the time difference  between  houston and australia , it probably makes sense to try and schedule it very  early in the morning your time , say 7 : 00 am ? it would be 5 : 00 pm here in  houston .  how does next wednesday or thursday , ( 8 / 16 or 8 / 17 ) at 7 : 00 am your time  sound ?  also , please let me know if you want to be reached at home or work .  thanks quentin and have a great day !  shirley crenshaw  administrative coordinator  enron research  713 / 853 - 5290  email : shirley . crenshaw @ enron . com",legitimate
"Subject: pc install p 600
daren
i ' m working on the pc you requested . can you provide me with the following information so i can start imaging your pc :
i will image it with windows 2000 unless you need nt 4 . 0
user id :
password :
lotus note password :
or
outlook :
do you have a palm pilot or printer ?
location ?
do you have the monitor ?
let me know .
tommy c . garza
enron networks it
713 - 853 - 6686",legitimate
"Subject: re : coastal ctr # 96008903 meter 0984179 sit # 135714
nick ,
i understand that they terminated their agreement . however , i don ' t feel
that we can confiscate their production . we need to either pay them for the
gas , or cut a deal to redeliver a like volume to them at another meter .
given the decrease in prices from september to current and prompt month , i
would guess that they want to be paid . we won ' t know that until we call
them . i don ' t know where the responsibility lies as far as calling to
explain to them that we took delivery of their gas until the meter was
shut - in .
please let me know if i can do anything further to assist .
mary",legitimate
"Subject: re : seeking intelligent insight  please . my only risk is potnetial embarrassment .  thanks ,  mark  vince j kaminski  08 / 22 / 2000 02 : 47 pm  to : mark lay / hou / ect @ ect  cc :  subject : re : seeking intelligent insight  mark ,  i fully agree with you regarding general trends . i see great progress in  software  applications that facilitate the process and make it almost painless to the  end - user .  with you permission , i can show the material you sent me to my son , who  studies  computer science , and ask him for his view .  vince",legitimate
"Subject: re : boss ' s day  kevin ,  no problem , a very good idea .  please , submit expenses to em for signature .  vince  kevin g moore  10 / 10 / 2000 09 : 10 am  to : vince j kaminski / hou / ect @ ect , shirley crenshaw / hou / ect @ ect , jose  marquez / corp / enron @ enron  cc :  subject : boss ' s day  well vince ,  the group has responded and ready for action .  vince , we would like to take mike to happy hour  for boss ' s day on the 16 th of oct .  so if it is okay with you may we do so ?  i am aware that you will be out on this particular  day however , i would also like to ask anyone in  the research group to please join us as we celebrate  with mike .  fyi : nothing fancy just a few drinks , laugher and conversation .  thanks  kevin moore  p . s . please inform . . . . . . . .  - - - - - - - - - - - - - - - - - - - - - - forwarded by kevin g moore / hou / ect on 10 / 10 / 2000 09 : 51  am - - - - - - - - - - - - - - - - - - - - - - - - - - -  kevin g moore  10 / 09 / 20",legitimate
"Subject: mid - year 2000 performance feedback  note : you will receive this message each time you are selected as a reviewer .  you have been selected to participate in the mid - year 2000 performance  management process by providing meaningful feedback on specific employee ( s )  that have been identified for you . your feedback plays an important role in  the performance management process , and your participation is very critical  to the success of enron ' s performance management goals .  please provide feedback on the employee ( s ) listed below by accessing the  performance management system ( pep ) and completing an online feedback form as  described in the "" performance management quick reference guide "" . you may  begin your feedback input immediately . please have all feedback forms  completed by the date noted below .  if you have any questions regarding pep or your responsibility in the  process , please call the pep help desk at the following numbers :  in the u . s . : 1 ",legitimate
"Subject: enron and the new economy value research lab  gentlemen :  enron is exploring the possibility of becoming involved in a research  endeavor called the new economy value research lab . the lab is the result of  a joint effort between mit ' s sloan school of management and arthur andersen  ( aa ) . its purpose is to develop "" quantitative valuations of the intangible  assets wall street finds increasingly important in the new economy "" ( business  week , 2 / 7 / 00 ) . clearly , as enron continues to shift from a hard asset to  intangible asset based organization , the question of "" how to "" accurately and  appropriate measure and value our intangible assets is becoming increasingly  important .  last week , steve kean , vince kaminski , marie hejka , and myself met with a  team from aa , the deputy dean of the sloan school , and mit ' s lead  accounting / finance professor to discuss the intent of the lab , expected  outcomes , and how enron may be involved . post that meeting ,",legitimate
"Subject: 10 million fresh email addresses sent to you on cd for free ! ! ! try before you buy ! !  get ready for a deal you ' ve never seen before !  10 million hot fresh email addresses and much more !  try before you buy ! ! ! ! !  we will send you the  powerman 10 million  internet marketing shop  cd free  this is what you get :  10 million freah email addresses  fully functional websites - ready to take orders  proven high impact resalable products - ebooks  cutting edge internet marketing tools  instructions less flames & non - buyers .  * less contact with anti - commerce radicals & extremists .  remember that potential income chart at the beginning of this message ? can you imagine the kind of money you could  make if you mailed one million pieces and sold only one tenth ( . 01 % ) of one percent ? you do the math , you ' ll be amazed !  this product will prove to be the best of it ' s kind compared to any cd in terms of hours and money spent bringing it to  market . no competit",spam
"Subject: re : nveer seen pron cartoon wrhoes
don ' t be like that . . . : )
tororane",spam
"Subject: mba career opportunity  shirley ,  please , arrange a phone interview . tt , vk , sg , zl .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 11 / 21 / 2000  09 : 06 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  "" qing chen "" on 11 / 17 / 2000 06 : 01 : 28 pm  to :  cc :  subject : mba career opportunity  dear ? vincent kaminski :  ?  i got your contact details from the web site for power marketers . i have a  strong interest in pursuing a career in the energy industry ? with a top  energy company like ? enron , where my abilities and qualifications can be  fully applied for our mutual benefit .  i am graduating in may with an mba ? degree with concentrations in finance and  information systems . this summer i worked ? as an intern with structuring and  analytics group of ameren energy . ? this internship ? has been especially  challenging and has enhanced my professional competencies . while there , i  was afforded th",legitimate
"Subject: market opportunity from ut generators  doug , fyi  i ' m sure that baldick would just as soon sell us energy as ae . plus we have  a better handle on market opportunites . see his e - mail below .  lance  - - - - - - - - - - - - - - - - - - - - - - forwarded by lance cunningham / na / enron on 04 / 16 / 2001  10 : 08 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  "" ross baldick "" on 04 / 15 / 2001 03 : 37 : 59 pm  to :  cc :  subject : re : dissertation  dear lance ,  the university is predicting a shortfall due to increased  gas costs of between $ 30 and $ 40 million , over the next 1 to 2  years . for a long time , i have been wanting to explore opportunities for  the  campus to sell energy to austin energy when its load is below  peak . this big shortfall provides an impetus for the university  to want to maximize the value of its plant .  ross",legitimate
"Subject: new pooling points
the two new pooling points are as follows : 1 ) . aqua dulce pool = 987349
2 ) : corpus christi pool = 987350",legitimate
"Subject: 
to _ cc _ default _ handler
subject : [ spam ? ] no prescription required on u . s . based pharmacy
date : tue , 10 feb 2004 10 : 12 : 43 + 0600
mime - version : 1 . 0
content - type : multipart / alternative ;
boundary = - - 0614842809561657
x - originating - ip : 143 . 233 . 6 . 1
- - - - 0614842809561657
content - type : text / html ;
content - transfer - encoding : quoted - printable
htmlheadtitle 4 n / title
meta http - equiv = 3 dcontent - type content = 3 dtext / html ; charset = 3 dwindows - 12 =
52
meta content = 3 dmshtml 6 . 00 . 2600 . 0 name = 3 dgenerator / head
body bgcolor = 3 d # ffffff leftmargin = 3 do topmargin = 3 do marginheight = 3 do ma =
rginwidth = 3 do
pfont color = 3 d # fffffc size = 3 d 26 s oz lq
2 o 8 f / font / p
div
table cellspacing = 3 d 2 cellpadding = 3 d 2 width = 3 d 600 border = 3 do
tbody
tr
td width = 3 d 72 % div align = 3 dcenter / div
table width = 3 d 98 % border = 3 do align = 3 dcenter cellpadding = 3 d ",spam
"Subject: patricia tlapek  brad ,  as per our previous discussions , vince wanted me to give you the background  on our request to bring patricia tlapek into the research group at the very  top end of the manager group . the justification for this was not only her  extraordinary performance in setting up our technical analysis section but  also our reliance on her to build this group and expand its scope .  this memo is in response to your request today to document our reasoning .  this past year patricia was extremely successful in building internal  clientele for her products and recommendations - she is now widely relied on  by gas , power , crude and equity marketers , as well as traders from the  calgary office . in addition , she developed and presented seminars to bring  traders up to speed on techniques in technical analysis .  also this last year patricia built and populates daily the research group ' s  intranet site on technical analysis .  as a crowning achievement ( but jus",legitimate
"Subject: entouch newsletter  business highlights  weather trading  the weather desk closed a 3 - year precipitation collar with payouts linked to  natural gas prices . the transaction hedges included asian options from the  gas market , precipitation floors from the weather market , and precipitation  insurance from the insurance market . eight companies were involved in the  transaction including the following enron companies : egm , ena , enron re , and  rmt . along with the hedges , the end result of the transaction is cheap  3 - year precipitation call options and precipitation dependent natural gas  call options for the weather desk .  houston pipe line company  on thursday , january 11 , american electric power ( nyse : aep ) announced that  they have executed a definitive agreement under which aep energy services gas  holding co . , a wholly owned subsidiary of aep , will acquire the stock of  houston pipe line co . from enron corp . included in this agreement are all of  the pi",legitimate
"Subject: wti maket maker simulation model  john ,  we finished the version 2 of the simulation model which deals with the  open - close trading versus the continuous trading in the previous version .  i added the cummulative p / l as an output . there are a few apparent trading  strategies from this model :  1 ) higher bid / offer spread , more profit  2 ) more daily # of trades , more profit  3 ) smaller net open positions allowed , more profit  1 ) and 2 ) are obvious , but 3 ) is more interesting . it means that we are  better off  if we do not allowed net open positions at end of the day . in a trending  market ,  this makes an intuitive sense , for example , in the case of bull market we are  short as a market maker and we can avoid the loss at the higher openning price  by keeping zero or small net short positions .  i have attached the model with this mail , and i ' ll be happy to discuss the  model  in more details with you .  zimin",legitimate
